日期,機台編號,班別,工單號,產出數量,報廢數,停機時數,停機原因,操作員工號,備註
2026-06-19,CNC02,早班,WO2606192,215,5,1.7,其他,OP-122,
2026-06-04,CNC01,早班,WO2606041,207,5,1.7,未填,OP-101,
2026-06-05,CNC02,夜班,WO2606052,178,10,1.5,未填,OP-137,
2026-06-25,CNC05,夜班,WO2606255,195,11,0.5,未填,OP-109,
2026-06-14,CNC03,早班,WO2606143,178,3,3.7,未填,OP-132,
2026-06-30,CNC04,早班,WO2606304,196,6,1.7,未填,OP-126,
2026-06-07,CNC02,早班,WO2606072,198,5,1.4,其他,OP-139,
2026-06-03,CNC06,夜班,WO2606036,215,5,1.3,其他,OP-107,
2026-06-20,CNC01,早班,WO2606201,220,7,1.4,未填,OP-137,
2026-06-06,CNC01,夜班,WO2606061,199,10,1.4,未填,OP-148,
